6.324076056480407715e-01,1.197916939854621887e-01,2.318030446767807007e-01,1.599763706326484680e-02
5.034669041633605957e-01,1.680165231227874756e-01,3.066092431545257568e-01,2.190726250410079956e-02
5.763310790061950684e-01,1.347268670797348022e-01,2.717221677303314209e-01,1.721994578838348389e-02
6.016500592231750488e-01,1.279283314943313599e-01,2.541697323322296143e-01,1.625198498368263245e-02
4.726618230342864990e-01,1.651289165019989014e-01,3.418222665786743164e-01,2.038694731891155243e-02
6.206774711608886719e-01,1.215950697660446167e-01,2.414875924587249756e-01,1.623986475169658661e-02
6.197876930236816406e-01,1.216717585921287537e-01,2.427113205194473267e-01,1.582929864525794983e-02
5.871558189392089844e-01,1.343091428279876709e-01,2.611387670040130615e-01,1.739624142646789551e-02
6.146696209907531738e-01,1.236963570117950439e-01,2.460822165012359619e-01,1.555179990828037262e-02
4.238355755805969238e-01,1.843646168708801270e-01,3.705945312976837158e-01,2.120533213019371033e-02
4.112395644187927246e-01,1.810922622680664062e-01,3.837334215641021729e-01,2.393472008407115936e-02
5.158206224441528320e-01,1.511463820934295654e-01,3.144973814487457275e-01,1.853560470044612885e-02
5.996975898742675781e-01,1.266912668943405151e-01,2.577140629291534424e-01,1.589699648320674896e-02
6.191013455390930176e-01,1.230228543281555176e-01,2.415778934955596924e-01,1.629788987338542938e-02
6.197337508201599121e-01,1.241873204708099365e-01,2.399516403675079346e-01,1.612722128629684448e-02
6.147180199623107910e-01,1.257238239049911499e-01,2.434232980012893677e-01,1.613488607108592987e-02
5.826886296272277832e-01,1.330680698156356812e-01,2.674939930438995361e-01,1.674925349652767181e-02
6.313015222549438477e-01,1.200273707509040833e-01,2.327579110860824585e-01,1.591326482594013214e-02
5.338785052299499512e-01,1.472281217575073242e-01,3.008927106857299805e-01,1.800060644745826721e-02
6.317352652549743652e-01,1.194702759385108948e-01,2.325921952724456787e-01,1.620226725935935974e-02
6.327580809593200684e-01,1.192875131964683533e-01,2.321128100156784058e-01,1.584159769117832184e-02
6.131639480590820312e-01,1.270406991243362427e-01,2.435048669576644897e-01,1.629050448536872864e-02
2.195325046777725220e-01,2.307966947555541992e-01,5.182053446769714355e-01,3.146545588970184326e-02
2.844330668449401855e-01,2.681123316287994385e-01,4.122702181339263916e-01,3.518441691994667053e-02
5.966386198997497559e-01,1.286896467208862305e-01,2.583932876586914062e-01,1.627837307751178741e-02
5.132459998130798340e-01,1.584382355213165283e-01,3.077471852302551270e-01,2.056859433650970459e-02
