9.942005574703216553e-02,9.005799889564514160e-01
9.709488749504089355e-01,2.905107103288173676e-02
7.597480714321136475e-02,9.240252375602722168e-01
7.643565535545349121e-02,9.235643148422241211e-01
9.688621163368225098e-01,3.113787248730659485e-02
7.436230778694152832e-02,9.256376624107360840e-01
4.906478896737098694e-02,9.509351849555969238e-01
5.201265960931777954e-02,9.479873180389404297e-01
6.569053232669830322e-02,9.343094825744628906e-01
9.739652872085571289e-01,2.603478543460369110e-02
7.619364559650421143e-02,9.238063693046569824e-01
9.569408893585205078e-01,4.305909946560859680e-02
6.855420023202896118e-02,9.314457774162292480e-01
9.621898531913757324e-01,3.781008347868919373e-02
6.353307962417602539e-01,3.646692335605621338e-01
3.111088275909423828e-01,6.888911724090576172e-01
9.687104225158691406e-01,3.128962218761444092e-02
2.846915721893310547e-01,7.153084278106689453e-01
9.727721214294433594e-01,2.722785994410514832e-02
6.366119533777236938e-02,9.363388419151306152e-01
